any;mes;motiu;quantitat;tipo
2014;1;CANVI RESIDENCIA;412;alta
2014;2;OMISIO;30;alta
2014;2;NEIXEMENT;108;alta
2014;2;CANVI RESIDENCIA;405;alta
2014;3;OMISIO;30;alta
2014;3;NEIXEMENT;112;alta
2014;3;CANVI RESIDENCIA;493;alta
2014;4;OMISIO;39;alta
2014;4;NEIXEMENT;109;alta
2014;4;CANVI RESIDENCIA;435;alta
2014;5;OMISIO;31;alta
2014;5;NEIXEMENT;114;alta
2014;5;CANVI RESIDENCIA;476;alta
2014;6;OMISIO;50;alta
2014;6;NEIXEMENT;102;alta
2014;6;CANVI RESIDENCIA;462;alta
2014;7;OMISIO;22;alta
2014;7;NEIXEMENT;90;alta
2014;7;CANVI RESIDENCIA;514;alta
2014;8;OMISIO;13;alta
2014;8;NEIXEMENT;117;alta
2014;8;CANVI RESIDENCIA;390;alta
2014;9;OMISIO;27;alta
2014;9;NEIXEMENT;123;alta
2014;9;CANVI RESIDENCIA;708;alta
2014;10;OMISIO;17;alta
2014;10;NEIXEMENT;131;alta
2014;10;CANVI RESIDENCIA;585;alta
2014;11;OMISIO;15;alta
2014;11;NEIXEMENT;108;alta
2014;11;CANVI RESIDENCIA;440;alta
2014;12;OMISIO;22;alta
2014;12;NEIXEMENT;115;alta
2014;12;CANVI RESIDENCIA;387;alta
2013;1;OMISIO;18;alta
2013;1;NEIXEMENT;105;alta
2013;1;CANVI RESIDENCIA;497;alta
2013;2;OMISIO;23;alta
2013;2;NEIXEMENT;104;alta
2013;2;CANVI RESIDENCIA;464;alta
2013;3;OMISIO;21;alta
2013;3;NEIXEMENT;89;alta
2013;3;CANVI RESIDENCIA;518;alta
2013;4;OMISIO;34;alta
2013;4;NEIXEMENT;102;alta
2013;4;CANVI RESIDENCIA;428;alta
2013;5;OMISIO;21;alta
2013;5;NEIXEMENT;88;alta
2013;5;CANVI RESIDENCIA;517;alta
2013;6;OMISIO;23;alta
2013;6;NEIXEMENT;128;alta
2013;6;CANVI RESIDENCIA;435;alta
2013;7;OMISIO;25;alta
2013;7;NEIXEMENT;125;alta
2013;7;CANVI RESIDENCIA;486;alta
2013;8;OMISIO;18;alta
2013;8;NEIXEMENT;113;alta
2013;8;CANVI RESIDENCIA;402;alta
2013;9;OMISIO;18;alta
2013;9;NEIXEMENT;124;alta
2013;9;CANVI RESIDENCIA;635;alta
2013;10;OMISIO;24;alta
2013;10;NEIXEMENT;132;alta
2013;10;CANVI RESIDENCIA;661;alta
2013;11;OMISIO;26;alta
2013;11;NEIXEMENT;112;alta
2013;11;CANVI RESIDENCIA;467;alta
2013;12;OMISIO;22;alta
2013;12;NEIXEMENT;97;alta
2013;12;CANVI RESIDENCIA;385;alta
2012;1;OMISIO;54;alta
2012;1;NEIXEMENT;166;alta
2012;1;CANVI RESIDENCIA;607;alta
2012;2;OMISIO;43;alta
2012;2;NEIXEMENT;115;alta
2012;2;CANVI RESIDENCIA;435;alta
2012;3;OMISIO;32;alta
2012;3;NEIXEMENT;117;alta
2012;3;CANVI RESIDENCIA;604;alta
2012;4;OMISIO;17;alta
2012;4;NEIXEMENT;136;alta
2012;4;CANVI RESIDENCIA;484;alta
2012;5;OMISIO;28;alta
2012;5;NEIXEMENT;135;alta
2012;5;CANVI RESIDENCIA;499;alta
2012;6;OMISIO;20;alta
2012;6;NEIXEMENT;110;alta
2012;6;CANVI RESIDENCIA;453;alta
2012;7;OMISIO;20;alta
2012;7;NEIXEMENT;102;alta
2012;7;CANVI RESIDENCIA;438;alta
2012;8;OMISIO;33;alta
2012;8;NEIXEMENT;121;alta
2012;8;CANVI RESIDENCIA;369;alta
2012;9;OMISIO;17;alta
2012;9;NEIXEMENT;129;alta
2012;9;CANVI RESIDENCIA;503;alta
2012;10;OMISIO;32;alta
2012;10;NEIXEMENT;142;alta
2012;10;CANVI RESIDENCIA;655;alta
2012;11;OMISIO;26;alta
2012;11;NEIXEMENT;109;alta
2012;11;CANVI RESIDENCIA;494;alta
2012;12;OMISIO;17;alta
2012;12;NEIXEMENT;133;alta
2012;12;CANVI RESIDENCIA;436;alta
2011;1;OMISIO;38;alta
2011;1;NEIXEMENT;147;alta
2011;1;CANVI RESIDENCIA;522;alta
2011;2;OMISIO;67;alta
2011;2;NEIXEMENT;131;alta
2011;2;CANVI RESIDENCIA;518;alta
2011;3;OMISIO;44;alta
2011;3;NEIXEMENT;144;alta
2011;3;CANVI RESIDENCIA;529;alta
2011;4;OMISIO;27;alta
2011;4;NEIXEMENT;103;alta
2011;4;CANVI RESIDENCIA;434;alta
2011;5;OMISIO;33;alta
2011;5;NEIXEMENT;120;alta
2011;5;CANVI RESIDENCIA;513;alta
2011;6;OMISIO;32;alta
2011;6;NEIXEMENT;114;alta
2011;6;CANVI RESIDENCIA;547;alta
2011;7;OMISIO;33;alta
2011;7;NEIXEMENT;146;alta
2011;7;CANVI RESIDENCIA;508;alta
2011;8;OMISIO;30;alta
2011;8;NEIXEMENT;139;alta
2011;8;CANVI RESIDENCIA;510;alta
2011;9;OMISIO;32;alta
2011;9;NEIXEMENT;155;alta
2011;9;CANVI RESIDENCIA;652;alta
2011;10;OMISIO;43;alta
2011;10;NEIXEMENT;148;alta
2011;10;CANVI RESIDENCIA;635;alta
2011;11;OMISIO;28;alta
2011;11;NEIXEMENT;158;alta
2011;11;CANVI RESIDENCIA;546;alta
2011;12;OMISIO;28;alta
2011;12;NEIXEMENT;139;alta
2011;12;CANVI RESIDENCIA;497;alta
2010;1;OMISIO;28;alta
2010;1;NEIXEMENT;185;alta
2010;1;CANVI RESIDENCIA;544;alta
2010;2;OMISIO;26;alta
2010;2;NEIXEMENT;150;alta
2010;2;CANVI RESIDENCIA;557;alta
2010;3;OMISIO;77;alta
2010;3;NEIXEMENT;191;alta
2010;3;CANVI RESIDENCIA;614;alta
2010;4;OMISIO;45;alta
2010;4;NEIXEMENT;112;alta
2010;4;CANVI RESIDENCIA;556;alta
2010;5;OMISIO;40;alta
2010;5;NEIXEMENT;166;alta
2010;5;CANVI RESIDENCIA;560;alta
2010;6;OMISIO;34;alta
2010;6;NEIXEMENT;150;alta
2010;6;CANVI RESIDENCIA;575;alta
2010;7;OMISIO;44;alta
2010;7;NEIXEMENT;175;alta
2010;7;CANVI RESIDENCIA;530;alta
2010;8;OMISIO;44;alta
2010;8;NEIXEMENT;153;alta
2010;8;CANVI RESIDENCIA;566;alta
2010;9;OMISIO;39;alta
2010;9;NEIXEMENT;174;alta
2010;9;CANVI RESIDENCIA;595;alta
2010;10;OMISIO;41;alta
2010;10;NEIXEMENT;159;alta
2010;10;CANVI RESIDENCIA;760;alta
2010;11;OMISIO;33;alta
2010;11;NEIXEMENT;182;alta
2010;11;CANVI RESIDENCIA;514;alta
2010;12;OMISIO;23;alta
2010;12;NEIXEMENT;170;alta
2010;12;CANVI RESIDENCIA;456;alta
2009;1;OMISIO;26;alta
2009;1;NEIXEMENT;165;alta
2009;1;CANVI RESIDENCIA;511;alta
2009;2;OMISIO;30;alta
2009;2;NEIXEMENT;177;alta
2009;2;CANVI RESIDENCIA;535;alta
2009;3;OMISIO;35;alta
2009;3;NEIXEMENT;163;alta
2009;3;CANVI RESIDENCIA;650;alta
2009;4;OMISIO;30;alta
2009;4;NEIXEMENT;144;alta
2009;4;CANVI RESIDENCIA;564;alta
2009;5;OMISIO;59;alta
2009;5;NEIXEMENT;178;alta
2009;5;CANVI RESIDENCIA;515;alta
2009;6;OMISIO;34;alta
2009;6;NEIXEMENT;160;alta
2009;6;CANVI RESIDENCIA;542;alta
2009;7;OMISIO;37;alta
2009;7;NEIXEMENT;194;alta
2009;7;CANVI RESIDENCIA;551;alta
2009;8;OMISIO;14;alta
2009;8;NEIXEMENT;157;alta
2009;8;CANVI RESIDENCIA;461;alta
2009;9;OMISIO;33;alta
2009;9;NEIXEMENT;188;alta
2009;9;CANVI RESIDENCIA;518;alta
2009;10;OMISIO;34;alta
2009;10;NEIXEMENT;153;alta
2009;10;CANVI RESIDENCIA;680;alta
2009;11;OMISIO;34;alta
2009;11;NEIXEMENT;150;alta
2009;11;CANVI RESIDENCIA;493;alta
2009;12;OMISIO;17;alta
2009;12;NEIXEMENT;184;alta
2009;12;CANVI RESIDENCIA;439;alta
2008;1;OMISIO;35;alta
2008;1;NEIXEMENT;188;alta
2008;1;CANVI RESIDENCIA;818;alta
2008;2;OMISIO;17;alta
2008;2;NEIXEMENT;151;alta
2008;2;CANVI RESIDENCIA;742;alta
2008;3;OMISIO;16;alta
2008;3;NEIXEMENT;176;alta
2008;3;CANVI RESIDENCIA;882;alta
2008;4;OMISIO;28;alta
2008;4;NEIXEMENT;174;alta
2008;4;CANVI RESIDENCIA;880;alta
2008;5;OMISIO;15;alta
2008;5;NEIXEMENT;192;alta
2008;5;CANVI RESIDENCIA;716;alta
2008;6;OMISIO;19;alta
2008;6;NEIXEMENT;170;alta
2008;6;CANVI RESIDENCIA;708;alta
2008;7;OMISIO;29;alta
2008;7;NEIXEMENT;192;alta
2008;7;CANVI RESIDENCIA;716;alta
2008;8;OMISIO;17;alta
2008;8;NEIXEMENT;217;alta
2008;8;CANVI RESIDENCIA;601;alta
2008;9;OMISIO;26;alta
2008;9;NEIXEMENT;179;alta
2008;9;CANVI RESIDENCIA;726;alta
2008;10;OMISIO;43;alta
2008;10;NEIXEMENT;183;alta
2008;10;CANVI RESIDENCIA;791;alta
2008;11;OMISIO;24;alta
2008;11;NEIXEMENT;181;alta
2008;11;CANVI RESIDENCIA;646;alta
2008;12;OMISIO;9;alta
2008;12;NEIXEMENT;185;alta
2008;12;CANVI RESIDENCIA;473;alta
2007;1;OMISIO;12;alta
2007;1;NEIXEMENT;187;alta
2007;1;CANVI RESIDENCIA;877;alta
2007;2;OMISIO;23;alta
2007;2;NEIXEMENT;174;alta
2007;2;CANVI RESIDENCIA;798;alta
2007;3;OMISIO;5;alta
2007;3;NEIXEMENT;164;alta
2007;3;CANVI RESIDENCIA;765;alta
2007;4;OMISIO;6;alta
2007;4;NEIXEMENT;158;alta
2007;4;CANVI RESIDENCIA;788;alta
2007;5;OMISIO;19;alta
2007;5;NEIXEMENT;179;alta
2007;5;CANVI RESIDENCIA;733;alta
2007;6;OMISIO;44;alta
2007;6;NEIXEMENT;185;alta
2007;6;CANVI RESIDENCIA;753;alta
2007;7;OMISIO;26;alta
2007;7;NEIXEMENT;180;alta
2007;7;CANVI RESIDENCIA;735;alta
2007;8;OMISIO;24;alta
2007;8;NEIXEMENT;171;alta
2007;8;CANVI RESIDENCIA;779;alta
2007;9;OMISIO;49;alta
2007;9;NEIXEMENT;168;alta
2007;9;CANVI RESIDENCIA;811;alta
2007;10;OMISIO;37;alta
2007;10;NEIXEMENT;201;alta
2007;10;CANVI RESIDENCIA;1004;alta
2007;11;OMISIO;23;alta
2007;11;NEIXEMENT;211;alta
2007;11;CANVI RESIDENCIA;850;alta
2007;12;OMISIO;16;alta
2007;12;NEIXEMENT;158;alta
2007;12;CANVI RESIDENCIA;608;alta
2006;1;OMISIO;4;alta
2006;1;NEIXEMENT;141;alta
2006;1;CANVI RESIDENCIA;697;alta
2006;2;OMISIO;4;alta
2006;2;NEIXEMENT;166;alta
2006;2;CANVI RESIDENCIA;656;alta
2006;3;OMISIO;11;alta
2006;3;NEIXEMENT;177;alta
2006;3;CANVI RESIDENCIA;900;alta
2006;4;OMISIO;3;alta
2006;4;NEIXEMENT;161;alta
2006;4;CANVI RESIDENCIA;569;alta
2006;5;OMISIO;3;alta
2006;5;NEIXEMENT;161;alta
2006;5;CANVI RESIDENCIA;811;alta
